developer,qntd_developer
Outgunned Games,2
Piko Interactive,2
Atomic Jelly,2
Warm Lamp Games,2
Redblack Spade,2
Stupid Stupid Games,2
Arzola's,2
illuCalab,2
Computer Lunch,2
Jon Gallant,2
imaginite Ltd,2
Sam Atlas,2
Hoshko,2
Blackjard Softworks,2
Lienzo,2
SolarByte,2
UNBALANCE Corporation,2
AdroVGames,2
ONEVISION GAMES,2
Playata GmbH,2
sen,2
Extend Mode,2
Reflect Studios,2
CGGAMES,2
Dane Winn,2
Evoluta Studio,2
Autonomic Interactive,2
Archiact,2
Olivier Archer,2
Pablo Vidaurre Sanz,2
bluebox interactive,2
Fascimania,2
Samer Khatib (Snowconesolid Productions),2
Greenolor Studio,2
Bitmap Bureau,2
calme,2
Team of Light Media LLC,2
Wizard Games Inc,2
Potato Games,2
AZAMATIKA,2
10Ants Hill,2
Vifth Floor,2
Cykyria,2
Last Level,2
Bulkhead Interactive,2
Gyroscope Games,2
Fading Club,2
Kuro Irodoru Yomiji,2
Woblyware,2
SnagBox,2
Paladin Studios,2
OrangeGames,2
Osmotic Studios,2
Rasul Mono,2
Oryzhon Studios,2
Xelphyre Games,2
Red Matter Studio,2
MT Worlds,2
games.Sharbit,2
FRS Game Studio,2
Warptear Entertainment,2
Iron Helmet Games,2
Miikka Åsnabrygg,2
Shadow Tor Studios,2
ciwolsey,2
keyreal,2
JDMSoftware,2
BARCHboi,2
JCKSLAP,2
Kite & Lightning,2
LB,2
DUCK,2
Scoria Studios,2
Delmunsoft,2
ImageCode,2
AntiAnti,2
VitruviusVR,2
Game Mechanics LLC,2
David Nguyen,2
Rabbiton,2
Pixelsplit Simulations,2
Portponky,2
"DrinkingNails, LLC",2
Red Iron Labs,2
Matt Glanville,2
Metanaut,2
Team 6,2
Benjamin Soulé,2
RealityRig,2
FireVector,2
DemonVideogames,2
Sean O'Connor,2
ExperaGameStudio,2
Mad Triangles,2
Uncorporeal Systems,2
syuuyuusya,2
Onteca Ltd,2
BANDAI NAMCO Studios,2
Theodore Palser,2
"Lasso Games, LLC",2
Francesco Trovato,2
ma_mutte,2
Wadup Games,2
Obsessive Science Games,2
Nova-box,2
PlayZilla.tk,2
Colin Wren,2
Jason Mallett,2
Wayne Jackson,2
CRASS Studios,2
Ken Watanabe,2
Priyam Parikh,2
Rushil Reddy,2
OperaHouse Corporation,2
Poking Water Games,2
Uruca Game Studio,2
Flaming Firefly,2
Ponywolf,2
Cleril Calamity Studios,2
Jonathan Tindell,2
"Space Wedgie, LLC",2
Petrodiy-Games,2
chris_antoni,2
Digixart,2
Mateusz Kulis,2
Antler Interactive,2
Well Bred Rhino,2
xrrawva,2
Worthing & Moncrieff,2
George Allan,2
CrystalGame,2
Dragon Whisper Game,2
BlockheadGames,2
GZ Storm,2
Onyx Lute,2
SOLIDMESH,2
VikingVRStudio,2
Binarystudio 54,2
Marvelous Inc.,2
Pragmatix Ltd,2
Gestalt Development Studio,2
Nanali Studios,2
Capitola VR,2
BBC Media Applications Technologies Limited,2
Prospect Games,2
GoeX GameS,2
Creative Freaks Inc.,2
Merlin Beer,2
Mehsoft,2
WubsGames,2
Carbon Studio,2
Joygo.Studio,2
StarworkGC,2
AEL Entertainment,2
Meteorise,2
Numb Thumb Studios,2
Salmi Games,2
Ghost Ship Studios,2
Gattai Games,2
Mad Unicorn Games,2
Ragnar,2
Applava,2
Green Dinosaur Games,2
Gawkfish Studios,2
Omnirift,2
David Nestoruk,2
Karl Binder,2
ImaginationOverflow,2
GamestormVR,2
JoqLePecheur,2
Smoketree Studios,2
Myshkin Entertainment,2
Squanch Games,2
Luke O'Connor,2
SirGoose,2
Tomilano,2
SOFF Games,2
Alex Hanson-White,2
Bogemic Games,2
Lokator Studio,2
Robot Riot UG (haftungsbeschränkt),2
HelixFox Games,2
Indie Dynamics,2
MNGOVR,2
Accidental Queens,2
Lord of the Stack,2
Uborm,2
Master Indie,2
Singularity Lab,2
Super Games Studio,2
Digital Eclipse,2
IR Studio,2
Gameplay Studio VR,2
Foolish Mortals Games,2
The Gentlebros,2
Glitchr Studio,2
Silicon Storm,2
Apeirogon Games,2
RetroEpic Software,2
Viacom NEXT,2
Gwyn Games,2
CFlat,2
Eugene Makashov,2
Flow Fire Games,2
"Quicksilver Software, Inc.",2
The Munky,2
VACTOR,2
Thatcher Productions,2
StevenHarmonGames,2
gtscom,2
Bryce Davis,2
Evan Davis,2
iBlackpen,2
DOG HOGGLER,2
Lucasfilm Games,2
T34 Studio,2
Innuendo Squad Studios,2
Rusto,2
Heekdevelopment,2
Joshua Hughes,2
Mitorah Games,2
Berzerk Studio,2
Snowdon Games,2
Xigma Games,2
MightyCodeDragon,2
Dan Ruscoe,2
Calepin Studio,2
Blue Tongue Entertainment,2
The Hideout,2
Chongqing Yan Wan network technology Co.Ltd.,2
Special Bit,2
Toster12D3,2
Tentacle Games,2
Anton Riot and Co,2
Gryzor87,2
Locomalito,2
Groove Jones LLC,2
D.W.S.,2
Shrimasis Rout,2
LunarPixel,2
Fulby Technologies,2
"Beijing Skyline Interaction Technology Co., Ltd.",2
XXII GROUP,2
toxicbrain,2
Jak Wilmot,2
DarkDes Labs,2
ARQUOIA,2
Ish Games,2
Evocat Games,2
Sleepless Clinic,2
eiloware,2
Desert Fox,2
Retrotainment Games,2
CTN Design,2
Marcos Dumont,2
Giant Margarita,2
Simple Ghost,2
Pol Clarissou,2
Vogelfänger,2
Rosyaev,2
EP Games®,2
nDreams / Near Light,2
Pillow Fight,2
RobProductions,2
NIGHTBOX,2
Trainwreck Studios,2
Forceight,2
Niki Odolphie,2
Cybreath,2
CrackedGhostGames,2
Dimps Corporation,2
Sevenedge Interactive Media,2
Fazan,2
D'Avekki Studios Ltd,2
Artogon,2
Koreez,2
ArkHouse,2
"Beijing Omnicity Technology Co., Ltd.",2
Deep Shadows,2
Quantum Phoenix Studio,2
Renato Milanesi,2
Girls Make Games,2
SOFTON ENTERTAINMENT,2
Mana Potion Studios,2
Sameer Hirezi,2
Soaphog,2
Godline,2
Ouch Giver Games,2
NetEase Games,2
Abdulla Hassan Al-Farsi,2
Sourcenity,2
Five Mind Creations,2
KorteGames,2
KirUn,2
Lump of Sugar,2
"Shandong Jerei Digital Technology Co.,LTD.",2
Thomas Bartram,2
Jonathan Bartram,2
Blazing Planet Studio,2
Prey Interactive,2
LunarCitySeven,2
Joure Visser,2
ifgames studio,2
Stonehill Games,2
FYRE Games,2
owockitalki,2
fletcher.richman,2
Red Limb Studio,2
10101 Software,2
Skydance Interactive,2
Valera Entertainment,2
Pixel Edge Games,2
RF,2
Fever Dream Gameworks,2
GameTop.com,2
Holyday Studios,2
etherane,2
ElZzap Software,2
"G-STYLE Co,. Ltd.",2
MAGIC ERA,2
Colossus Interactive,2
Ibrahim Indra Baskara,2
Molegato,2
Tree Men Games,2
Yosemite Entertainment,2
Duplicator Studio,2
Sokpop Collective,2
DyingCat,2
Grey Reality Studios,2
GAMES FOR HUMANS,2
Guilherme Cunha,2
SOFTSTAR ENTERTAINMENT INC.,2
TeamTop Games,2
Rotatipyra,2
Achpile,2
Color Brush Studio,2
Léo-Games,2
Silver Moon Internet,2
Darksquid Media,2
[erka:es],2
Grandma Studios,2
magicdweedoo,2
Raxasoft Games,2
Kurenaibook,2
VladCastillo,2
Blob Lab,2
Tatyana Murzina,2
Adept Studios GD,2
BEta - indie,2
2xMilk,2
Orfeas Game Studio,2
Hatrabbit Entertainment,2
Fyn Games,2
Niko Kivilahti,2
ZAR 21,2
BT Studios,2
LusionSoft,2
Portal Studios,2
Polymorphic Games,2
Object Normal,2
Meepower,2
Reversed Interactive,2
Douglas Liang,2
DigitalBadger Design,2
BulatHard,2
Monkeys Lab.,2
Zabuza Labs,2
Kormishenkov Anton,2
Red Triangle Games,2
LABS Games,2
Zealwind,2
Tungsten Games,2
Kyuppin,2
Funghisoft,2
Watercolor Games,2
IKINA GAMES,2
Brogames,2
Blind Recluse,2
A Sweet Studio,2
Mobsoftware,2
MPC VR,2
Throwback Entertainment,2
Shevchenko Technology,2
XREAL Games,2
Pretty Okay Games,2
Zanardi and Liza,2
Galaxy Game Studio,2
Bigmoon Entertainment,2
Nezon Production,2
Electrovore,2
Clawed Paw,2
Gear Worx Productions,2
V34D4R,2
Ran,2
Epotech,2
Irvin Vaush,2
Total Mayhem Games,2
Flamebait Games,2
Vyacheslav Notbad,2
ReverseImpact,2
Reb_Orn,2
Eastshade Studios,2
Linden Lab,2
Killer Bees Games,2
Torch60,2
Olivier LeClair,2
Mike Casto,2
Josh Beatty,2
Weekend Soft,2
Toxic Dog,2
Light Bringer Games inc.,2
Struct9,2
H-GAME,2
Gameplay Ltd.,2
Catland,2
DeathMofuMofu,2
Games++,2
Sky Trail Ltd,2
Fevolution Innovation Inc.,2
Alexander Goodwin,2
Growing Grass Studio,2
Gungrounds,2
Dreamverse Entertainment,2
IndieRevo,2
ForepawSoft,2
Leiting Interactive,2
zhangwenlu,2
BisquitPlay,2
Jason Lovett,2
Oscar Celestini,2
Mark Radocy,2
Tunnel Vision Studio,2
MJ Lovegrove,2
Doborog Games,2
The Vanir Project,2
CREATIV GAME DEVELOPER LLC.,2
LiMAVR,2
Catalope Games,2
Kremlingames,2
IriySoft,2
Adam Thompson,2
Unphysical Machinery,2
DGames,2
Z9K Games,2
Tuttifrutti Interactive,2
威震天科技,2
JanduSoft S.L.,2
LiangDeZhao,2
Meow Studios,2
MiKandi Japan,2
onomatope*,2
Spell Helix,2
ArteG,2
PrimeBit Games S.A.,2
MrCiastku,2
MAD.com,2
Cat Nigiri,2
Red Skald,2
"Player Of Music Technology Co.,Ltd",2
Robot Games,2
VRGEN,2
tri-Ace,2
Ennui Studio,2
EvilCoGames,2
Eden Agency,2
Steel Arts,2
BeagleGames,2
Goldbar Games,2
Empyrean,2
Corpix Games,2
Sky Nite,2
Golden Frog,2
Tiny Titan Studios,2
CWH Entertainment,2
Frymore,2
Pixelsplit,2
REX PEX GAMES,2
Epic Works,2
Hunchback Studio,2
NEZOS GAMES,2
VaNyuHa,2
热泉 RedSpring,2
5minlab,2
Growl Interactive,2
4 Friends Games,2
Titmouse,2
Träumendes Mädchen,2
"What Pumpkin Games, Inc.",2
Immergity,2
AbstractGameStudio,2
Post Mortem Pixels,2
Afterthought Games,2
Static City Games,2
Elknight,2
Cascade of Leaves,2
Forever Young Games,2
FURYU Corporation,2
The Mill,2
Pill Bug Interactive,2
inbetweengames,2
"ESQUADRA,inc.",2
"Delusion Arts Entertainment, LLC",2
Light & Digital Technology,2
weRplay,2
Impostor Cat Games,2
The Selenite Forge,2
David Schneider,2
Inner World Games,2
Cheerdealers,2
Andy Imm,2
Cipher Hive,2
Resonair,2
Barracuda Disaster,2
ShilohGames,2
LR Studio,2
EVR Studio,2
Stitch Media,2
QRA-CS,2
yyrGames,2
Hyperbook Studio,2
LastnOni,2
StaplesVR,2
Screaming Villains,2
unknown,2
KAGAMI WORKs,2
Light Road Games,2
Tydecon Games,2
Pavel Kostin,2
Celery Emblem™,2
WalkBoy Studio,2
Polygon Dust Entertainment Ltd.,2
KEMCO,2
Snap Finger Click,2
SnagBox Studio,2
HiTech Creations Inc.,2
Ventura Science,2
Dudarev Alexandr Vladimirovich,2
Johnny Ostad,2
Alakhaine Specialist Consulting Limited,2
Owlgorithm,2
Unikgame,2
Coconut Tree Studio,2
Malaca Games,2
Progorion,2
Michael Callaghan,2
Alan Bourhis,2
DreamPunks,2
G. A. Williams,2
GoldFire Studios,2
Triple Rush Games,2
Michael Cox,2
Munchkin's Lair,2
David Sof,2
Steven Taylor,2
SpielmannSpiel,2
Pony,2
T_T Games,2
BufoProject,2
Bulls Bros,2
Artur Berkowski Berobasket,2
Rakarnov Studios,2
Dirty Fighter Team,2
Virtual World Arcade,2
Hellride Games,2
Fedorov Ilya & Andrew Konovalov,2
CITY CONNECTION,2
Gamechuck,2
LAN - GAMES EOOD,2
2-Volt Games,2
INDIEPLAY,2
TeePee Studios,2
Flight School Studio,2
Game Soup LLC,2
Studio229,2
qberty,2
Restory Studio,2
MDickie,2
Lucid Dream Studio,2
ChuMoran,2
Domus ludus,2
The Commander,2
Deep Dive Interactive,2
Pixel Fyzz,2
Barlock Games,2
Siberian Mouse,2
Sokolov Yaroslav Vladimirovich,2
NoTime Studios,2
Grégory Joerger,2
Yiming,2
DigiFeather,2
Veibyn,2
Geoff Nagy,2
"Beamz Interactive, Inc.",2
B52 Development Team,2
HIPIX,2
Colorfiction,2
lightUP,2
XMinutesGames,2
Vrai,2
Wisdom Emprie,2
Mark Healey,1
RavenSoft / id Software,1
Black Element,1
Neversoft,1
Metamorf,1
"Retro64, Inc.",1
Elixir Studios,1
GlyphX Games,1
Funkitron,1
Naked Sky Entertainment,1
Frontier,1
Sick Puppies,1
Deepred,1
Muzzy Lane,1
Artematica Entertainment,1
Mithis Games,1
Eidos Interactive,1
Sky Fallen,1
Eidos Studio Hungary,1
Virtual Programming (Linux),1
Silver Wish Games,1
InnoGlow,1
ImagineEngline,1
Incinerator Studios,1
Wanako Games,1
Trashmasters,1
Electronic Paradise,1
SPLine,1
2DEngine.com,1
Deep Red Limited,1
Rockstar New England,1
Rockstar Toronto,1
Rockstar North / Toronto,1
Momentum Digital Media Technologies,1
Parallax Arts Studio,1
Technetium Games,1
Lesta Studios Inc,1
Noviy Disk,1
Gamebryo,1
Gabriel Entertainment,1
BigAnt Studios,1
Babylon,1
Merscom,1
Blue Omega Entertainment,1
Codemasters Studios,1
Sanzaru Games,1
Kudosoft,1
Ubisoft Bulgaria,1
Slam,1
blurredVision,1
Crackpot Entertainment,1
BlackFoot Studios,1
EA Black Box,1
EA Redwood Shores,1
Zombie Panic Team,1
Octoshark Studios,1
GameConnect,1
Empires,1
Futuremark,1
Inventive Dingo,1
Brian Cronin,1
G5 Entertainment,1
Dialogue Design,1
Strawdog Studios Ltd,1
SilverSphereStudios,1
Luc Bernard,1
Perpetual FX Creative,1
Sidhe,1
Deadline Games,1
Deadline Games  ,1
Timegate,1
Day 1 Studios,1
Dark Castle Software,1
Games Faction,1
Eipix,1
Ubisoft Reflections,1
2D BOY,1
Three Donkeys LLC,1
Team17 Software Ltd. ,1
"Vicious Cycle Software, Inc.",1
OVERKILL Software,1
"Bit Blot, LLC",1
Mindstorm Studios,1
Black Sea Studios Ltd,1
Cyberlore,1
Paleo Entertainment,1
Number None,1
Kloonigames,1
49 Games,1
Red Rocket Games,1
Hemisphere Games,1
Elecorn,1
Slam Dunk Studios,1
Thinking Studios,1
TrueThought,1
Black Jacket Studios,1
Brightside Games,1
Frog City Software,1
BreakAway Games,1
PopTop Software,1
Synetic,1
Kokakiki,1
Zaratustra Productions,1
Bamtang,1
DTP,1
"Gunnar Games, Inc.",1
SaintXi,1
Honeyslug,1
GFI Russia,1
Teotl Studios,1
Frima,1
Sakari Indie,1
Chaos Concept,1
"Big Splash Games, LLC",1
Aliasworlds Entertainment,1
Yullaby,1
8monkey Labs,1
Gamerizon,1
Spidermonk Entertainment,1
"Enlight Software Limited, PerspectX",1
Interplay Inc.,1
Black Isle Studios,1
14° East,1
Army Game Studio,1
Virtual Heroes,1
Phenomic,1
Cauldron,1
Rune Forge,1
Konstantin Koshutin,1
"Dream Forge Entertainment, LLC",1
VIS Interactive,1
Oasis Games,1
Independent Programmist Group,1
Trinoteam,1
Dark Water Studios Ltd,1
Crystal Empire Games,1
Blue Fang,1
New Star Games Ltd,1
Elite Games Team,1
SoftLab-NSK,1
Headup Games,1
ClockStone Studios,1
Octane Games,1
Headup Games / Crenetic,1
Dust Devil Studios Inc.,1
Gogiii,1
Visceral Games,1
Electronic Arts,1
The Sims Studio,1
Related Designs,1
VStep,1
Beatnik Games,1
2K Czech,1
doublesix,1
Relic,1
Stickmen Studios,1
Source Studio Ltd.,1
4sdk,1
Firemint,1
Zoë Mode,1
Big Sandwich Games,1
bitComposer Games,1
Uber Entertainment,1
Lunar Giant,1
Ino-Co,1
PLAY,1
Streko Graphics,1
Eggtooth Team,1
G3 Community Patch Team,1
Trine Studios,1
800 North and Digital Ranch,1
Tomkorp Computer Solutions Inc.,1
Clara Lehenaff,1
Martin Ivanov,1
Red Redemption,1
Joshua Neurnberger,1
Relentless Software,1
AWAR,1
X1 Software,1
Dark Energy Digital Ltd.,1
Richard Keene,1
Copenhagen Game Collective,1
"WXP Games, LLC",1
Black Lion Studios,1
Stout Games,1
Final Form Games,1
Cockroach Inc.,1
Straandlooper,1
SpikySnail,1
Peter Brinson and Kurosh ValaNejad,1
Colibri Games,1
Paul Fisch,1
Kot in Action Creative Artel,1
Murudai,1
Krystian Majewski,1
Game Distillery s.r.o.,1
Zeroscale,1
Bedlam Games,1
Killspace Entertainment,1
Mystic Box,1
38 Studios,1
Trapdoor Inc.,1
Big Fat Alien,1
Manic Game Studios,1
Re-Logic,1
The Indie Stone,1
Cornfox & Brothers,1
Mountain Sheep,1
Pixelante Game Studios,1
Hazardous Software Inc.,1
Digital Arrow,1
PomPom Games,1
Rockstar Leeds,1
Team Bondi,1
Total Eclipse,1
Total Eclipse P.C.,1
Edmund McMillen and Florian Himsl,1
D-Pad Studio,1
Sculptured Software,1
Olde Sküül,1
Fuel Entertainment,1
Deca Games,1
Wild Shadow Studios,1
1C-Avalon,1
Zeal Game Studio,1
Unigine Corp.,1
Dark Artz Entertainment,1
b-Alive,1
Cyanide Montreal,1
TikGames,1
RC Knight,1
Lizsoft,1
Bootsnake Games,1
Jim Guthrie,1
Superbrothers,1
Capybara,1
Rockstar Studios,1
Retro Affect,1
Ty Taylor and Mario Castañeda,1
Rocket Bear Games,1
Dancing Dots,1
"Vblank Entertainment, Inc.",1
Biart,1
Golgoth Studio,1
UL,1
Sakari Indie & GriN,1
Shadow Planet Productions,1
Blit Software,1
System Prisma,1
Enigma SP,1
Digital Reality Software & Playbox,1
BlinkWorks Media,1
DoubleDutch Games,1
exDream,1
CodeBrush Games,1
Flat Software,1
David Williamson,1
UBIart Montpellier,1
ExDream GmbH,1
Southend,1
"Aspyr (Mac, Linux, & Windows Update)",1
Shovsoft,1
Gaijin Entertainment Corporation,1
Finn Morgan,1
WB Games Montreal,1
Slant Six Games,1
"Capcom U.S.A., Inc.",1
Doublesix Games,1
Jasper Byrne,1
Jet Set Games,1
Spaces of Play,1
"Thekla, Inc.",1
"Creative Assembly, PC Port - Hardlight",1
Talawa Games,1
Kyle Pulver,1
"Tequila Works, S.L.",1
Sector3 Studios,1
Black Market Games,1
Fishlabs Entertainment GmbH,1
Qooc Software,1
XII Games,1
Star Gem Inc.,1
devCAT,1
Cloud 9 Studio,1
Crankshaft Games,1
New Star Games,1
Overhaul Games,1
BitSits Games,1
"Engient, Inc",1
SuperVillain Studios,1
Elemental Games,1
Aleksey Abramenko,1
Lukewarm Media,1
stealth.gg,1
Noumena Studios,1
Okugi Studio,1
ASK Homework,1
Naddic Games,1
I-deal Games,1
Camel101 LLC,1
Cyanide Studio - Spiders Studios,1
Dreampainters,1
2x2 Games,1
"Level Up Labs, LLC",1
OVERKILL - a Starbreeze Studio.,1
Torn Banner Studios,1
Ed Key and David Kanaga,1
Alexander Bruce,1
Crate Entertainment,1
Squad,1
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",1
Serious Brew,1
"Xavi Canal, Ben Palgi",1
Tuna,1
Rudolf Kremers & Alex May,1
Forgotten Empires,1
Galactic Cafe,1
Red Fly Studio,1
CSR-Studios,1
Dambuster Studios,1
Zeptolab UK Limited,1
BlackMark Studio,1
Avatar Creations,1
][ Games Inc,1
ioneo,1
Team Psykskallar,1
Ankama Games,1
Eagle Dynamics SA,1
Goldhawk Interactive,1
No More Room in Hell Team,1
Young Horses,1
Robotronic Games,1
Virtuos,1
Polytron Corporation,1
Megadev,1
Starbreeze Studios AB,1
Ascaron,1
Sven Co-op Team,1
QCF Design,1
Badland Studio,1
Tragnarion Studios,1
SEGA Studios Australia,1
Alligator Pit,1
Sauropod Studio,1
RETO MOTO,1
Shiny Shoe,1
Iron Galaxy Studios,1
Cube Roots,1
HyperSloth,1
FarmerGnome,1
Colin Northway with art by Thomas Shahan,1
Brightrock Games,1
Metanet Software Inc.,1
Giant Army,1
Spicy Horse,1
Geniaware Srl,1
Internal Games,1
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",1
Halycon Media GmbH & Co. KG,1
Kuno Interactive,1
Mighty Rocket Studio,1
Eric Chahi,1
Refract,1
Lo-Fi Games,1
MercurySteam - Climax Studios,1
Crocodile Entertainment,1
Demiurge Studios,1
Test3 Projects,1
XYLA Entertainment,1
Treexy,1
The Story Mechanics,1
Point Five Projects,1
Laboratory Systems,1
Ludochip,1
55 Revolver,1
L3O Interactive,1
March Entertainment,1
Zero Point Software,1
"Mine Loader Software Co., Ltd.",1
Brain Slap Studio,1
KOG,1
Red Thread Games,1
Interceptor Entertainment,1
Handyman Studios,1
FarSight Studios,1
Games Distillery s.r.o.,1
Grinding Gear Games,1
Teknopants,1
NAMCO BANDAI Games,1
Greenheart Games,1
Panzar Studio,1
Conifer Games,1
Ivory Tower in collaboration with Ubisoft Reflections,1
Exato Games Studio,1
TimeSymmetry,1
The Bitmap Brothers,1
"Masangsoft, Inc.",1
Endnight Games Ltd,1
Shining Rock Software LLC,1
Quantic Dream,1
Blackpowder Games,1
Untame,1
Phosfiend Systems,1
Dead Shark Triplepunch,1
Mad Orange,1
Team Colorblind,1
"Schine, GmbH",1
Wingware,1
Curve Digital,1
Lucky Pause,1
WastedStudios,1
Poppermost Productions,1
Schulenburg Software,1
Lab Zero Games,1
Junction Point,1
Cyberdreams,1
Sir-Tech Canada,1
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",1
Ndemic Creations,1
"Moonshark, Inc.",1
ShadowShifters,1
"Vex Studios, LLC",1
Commotion Games Pty Ltd,1
Arkavi Studios,1
Brace Yourself Games,1
Crazy Viking Studios,1
Rising Star Games,1
Phosphor Games Studio,1
The Tiniest Shark,1
Nifflas' Games,1
Songquito UG,1
Dekovir Entertainment,1
Biart Company LLC,1
Nabi Studios,1
Flyleap Studios Pty. Ltd.,1
Blue Bottle Games,1
Petit Depotto,1
Silk Games,1
Evolutionary Games,1
Infinite Monkeys Entertainment Ltd.,1
sanodg (Nobuyoshi Sano),1
Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com,1
Witch Beam,1
Necrophone Games,1
Anthony Rotondo,1
Ben Garney,1
Eric Hartman,1
sparsevector,1
Stygian Software,1
Onipunks Studio Inc.,1
Digerati Distribution,1
souvenir circ.,1
"Escape Hatch Entertainment, LLC",1
"TREND, Soft Pro",1
Tuque Games,1
GrisGris,1
Nocturnal works,1
Matt Thorson,1
"International Games System, Co., LTD.",1
The Fun Pimps,1
Vivid Games,1
Acclaim Studios Teeside,1
Firebrand Games,1
Cornered Rat Software,1
GameCask,1
8888888 LABS,1
Asteroid Base,1
comcept Inc.,1
Simon Roth,1
Completely Fair Games LLC,1
PD Design Studio,1
MR-Software GbR,1
Liquid Flower,1
Dirigo Games,1
Madgarden,1
Crunching Koalas,1
Hailstorm Games,1
Leafy Games,1
"Psyonix, Inc.",1
Elefantopia,1
Gears for Breakfast,1
Radiant Entertainment,1
Infinitap Games,1
StarQuail Games,1
Axis Game Factory LLC,1
ESTgames Corp.,1
WhiteMoon Dreams,1
Aartform,1
Treasure,1
grapefrukt games,1
Topware Interactive,1
Starbreeze,1
Irresponsible Games,1
Koboldgames,1
Pulse Entertainment,1
Full Control,1
GameCrafterTeam,1
Allgraf,1
Sarah Northway,1
The Dreamers Guild,1
"Fantasy Flight Publishing, Inc.",1
Lightmare Studios,1
Heart Machine,1
Triple.B.Titles,1
The Astronauts,1
PolyPusher Studios,1
Runewaker,1
Eden Games,1
Naiad Entertainment LLC,1
Celsius Game Studios,1
SeeThrough Studios,1
Agharta Studio,1
Flix Interactive,1
FUN Creators,1
Netcore Games,1
The Collective,1
Scientifically Proven,1
8th Floor Games,1
dtp Entertainment,1
WizarBox Production,1
JoWooD Vienna,1
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,1
Code Force,1
RedBedlam,1
Big Finish Games,1
Stage 2 Studios,1
Xtal Sword,1
Sumom Games,1
Xaviant,1
Kitty Lambda Games Inc.,1
ALLPlayer Group Ltd.,1
Doppler Interactive,1
Pinkerton Road Studio,1
Red Hook Studios,1
BluBee Games,1
Tomoaki Sugeno,1
PadaOne Games,1
Moonbite Games,1
Toco Games,1
Noble Empire Corp.,1
ComiPo! LLP,1
TAKAGISM Inc.,1
Dream Holdings,1
WaveDNA,1
Darkmire Entertainment,1
Avidly Wild Games,1
Excalibur Publishing,1
Heydeck Games,1
Matt Kap,1
Artnumeris,1
North Side,1
GhostShark,1
Giant Box Games,1
ovos,1
The Dept of Silly Stuff,1
Sweet Dog Studios,1
Oovee® Game Studios,1
Jason Oda,1
Anne Mönkkönen,1
Ville Mönkkönen,1
Strike Games,1
"QUAD ARROW Co.,Ltd.",1
Zenith Blue,1
Chaosoft Games,1
Flow Combine,1
Electric Cafe,1
TwinDrills,1
MiniBoss,1
Primate Labs Inc.,1
Whole Hog Games,1
Vae Victis Games,1
TawStudio Entertainment,1
ShortRound Games,1
B-evil,1
Zaxis Games,1
Rocket Jump,1
XeniosVision,1
Magiko Gaming,1
Ignatus Zuk and Gonzalo Villagomez,1
FAKT Software Gmbh,1
Paweł Mogiła,1
Capcom Game Studio Vancouver,1
Fistful of Frags Team,1
Limasse Five,1
ExeCreate Inc.,1
Switchblade Monkeys Entertainment,1
Net Games Laboratory,1
Nowhere Studios,1
Sherman3D,1
Epixx.org,1
Peoleo Entertainment,1
Gun.,1
IO Entertainment,1
Snowed In Studios,1
Tethys Interactive LLC,1
Smoking WOLF,1
Deadly Red Cube,1
Bill and Eli Productions,1
VipaGames,1
Bongfish GmbH,1
iRacing,1
iRacing.com Motorsport Simulations,1
Elijah Newman-Gomez,1
Terra Nova Development,1
Lightmare Studio,1
TT Fusion,1
InsGames,1
Phenomenon Games,1
Slak Games,1
Tuesday Society,1
Crystal Labs,1
Barnyard Intelligence Games,1
Playables,1
Brilliant Skies Ltd.,1
Liminal Games,1
Robit Games,1
EVGA,1
5 Lives Studios,1
Studio MDHR Entertainment Inc.,1
Visual Outbreak,1
ToMorning Productions,1
Spiky Caterpillar,1
Emily Carroll,1
Damian Sommer,1
Simogo,1
Jussi Kukkonen,1
Tyler Doak,1
Culture Attack Studio,1
Organic Humans,1
Slav Pankratov,1
The Indie Forge,1
Dreadlocks Ltd.,1
Frogmind,1
Pixel Ferrets,1
Eric Provan - Ayyo Games,1
Laminar Research,1
David Amador,1
Flying Carpets Games,1
"MindBlocks Studio, LLC",1
Osumia Games,1
Isaac Schankler,1
Patrick Lindsey,1
The Quinnspiracy,1
Chicken in The Corn,1
Icetesy SPRL,1
Digital Media Workshop,1
Squinkifer Productions,1
Trickster Face,1
Robert Miroszewski,1
Mohawk Games,1
Browny Application,1
Just A Pixel Ltd.,1
Heuristic Park,1
Tachi,1
Senscape,1
"CyberConnect2 Co., Ltd.",1
Kinelco & Lone Elk Creative,1
Étienne Périn,1
Cyanide,1
"Valve Corporation, Nexon Korea Corporation",1
Outrage Entertainment,1
Volition Inc.,1
Volition Inc,1
Ovilex Software,1
Joindots,1
app2fun,1
Tomasz Wacławek,1
Gausswerks,1
Stellar Jockeys,1
Acid Wizard Studio,1
GRIP Digital s.r.o.,1
JForce Games,1
Holotech Studios,1
Dream Vision Games,1
WEB Gaming Entertainment,1
Rob Howland,1
Pure FPS,1
Ostrich Banditos,1
Pyxel Arts,1
Origin8,1
Crazy Moo Games,1
Radon Labs GmbH,1
Rogue Factor,1
Rasmus Ljunggren,1
"Action Button Entertainment, LLC",1
Bane Games,1
